Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2020","2020","kg/ha","4441.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2021","2021","kg/ha","4406.5","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2022","2022","kg/ha","4625","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2023","2023","kg/ha","4627.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2020","2020","kg/ha","1943.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2021","2021","kg/ha","1963.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2022","2022","kg/ha","2045.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2023","2023","kg/ha","2146.7","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0111","Wheat","2020","2020","kg/ha","4327.1","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0111","Wheat","2021","2021","kg/ha","4130.5","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0111","Wheat","2022","2022","kg/ha","4296.3","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0111","Wheat","2023","2023","kg/ha","4053.9","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0113","Rice","2020","2020","kg/ha","1791","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0113","Rice","2021","2021","kg/ha","1790","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0113","Rice","2022","2022","kg/ha","1789.9","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0113","Rice","2023","2023","kg/ha","1790.3","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0111","Wheat","2020","2020","kg/ha","1681.1","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0111","Wheat","2021","2021","kg/ha","1584.3","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0111","Wheat","2022","2022","kg/ha","1666.7","X","Figure from international organizations",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0111","Wheat","2023","2023","kg/ha","1388.9","X","Figure from international organizations",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0113","Rice","2020","2020","kg/ha","1237.5","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0113","Rice","2021","2021","kg/ha","1226.6","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0113","Rice","2022","2022","kg/ha","1232.3","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0113","Rice","2023","2023","kg/ha","1172.1","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0111","Wheat","2020","2020","kg/ha","652","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0111","Wheat","2021","2021","kg/ha","931","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0111","Wheat","2022","2022","kg/ha","931","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0111","Wheat","2023","2023","kg/ha","931","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0113","Rice","2020","2020","kg/ha","6599.6","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0113","Rice","2021","2021","kg/ha","7266.2","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0113","Rice","2022","2022","kg/ha","6569.7","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0113","Rice","2023","2023","kg/ha","6723.7","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0111","Wheat","2020","2020","kg/ha","2938.7","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0111","Wheat","2021","2021","kg/ha","2759.5","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0111","Wheat","2022","2022","kg/ha","3382.5","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0111","Wheat","2023","2023","kg/ha","2287.6","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5412","Yield","0111","Wheat","2020","2020","kg/ha","2252.8","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5412","Yield","0111","Wheat","2021","2021","kg/ha","1676.6","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5412","Yield","0111","Wheat","2022","2022","kg/ha","2450.9","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5412","Yield","0111","Wheat","2023","2023","kg/ha","2526.5","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0113","Rice","2020","2020","kg/ha","10030.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0113","Rice","2021","2021","kg/ha","9382","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0113","Rice","2022","2022","kg/ha","11054.5","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0113","Rice","2023","2023","kg/ha","9516.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2020","2020","kg/ha","1468.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2021","2021","kg/ha","2524.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2022","2022","kg/ha","2847","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2023","2023","kg/ha","3187.5","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2020","2020","kg/ha","5923.4","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2021","2021","kg/ha","5529.9","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2022","2022","kg/ha","5795.2","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2023","2023","kg/ha","6187.7","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5412","Yield","0113","Rice","2020","2020","kg/ha","3131.4","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5412","Yield","0113","Rice","2021","2021","kg/ha","3296","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5412","Yield","0113","Rice","2022","2022","kg/ha","3424.2","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5412","Yield","0113","Rice","2023","2023","kg/ha","4651.5","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5412","Yield","0111","Wheat","2020","2020","kg/ha","3090.8","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5412","Yield","0111","Wheat","2021","2021","kg/ha","3210.1","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5412","Yield","0111","Wheat","2022","2022","kg/ha","3111.3","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5412","Yield","0111","Wheat","2023","2023","kg/ha","3302","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","0113","Rice","2020","2020","kg/ha","4808.8","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","0113","Rice","2021","2021","kg/ha","4818.7","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","0113","Rice","2022","2022","kg/ha","4891.2","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","0113","Rice","2023","2023","kg/ha","5034.8","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","0111","Wheat","2020","2020","kg/ha","3097","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","0111","Wheat","2021","2021","kg/ha","3299.6","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","0111","Wheat","2022","2022","kg/ha","3450","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","0111","Wheat","2023","2023","kg/ha","3494.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2020","2020","kg/ha","4075.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2021","2021","kg/ha","4196.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2022","2022","kg/ha","4257.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2023","2023","kg/ha","4322.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2020","2020","kg/ha","3439.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2021","2021","kg/ha","3520.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2022","2022","kg/ha","3537.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2023","2023","kg/ha","3520.7","A","Official figure",""
